,theta0,theta1,j
84,119922.61957951992,150389.5284411416,2062383056.2837985
85,119914.7546292332,150402.6336237846,2062355092.1020668
86,119906.91367651532,150415.69830693837,2062327299.768607
87,119899.09665182357,150428.72261977312,2062299678.2273307
88,119891.30348571415,150441.70669094042,2062272226.42864
89,119883.53410884505,150454.65064857795,2062244943.3293881
90,119875.78845197867,150467.55462031424,2062217827.8928413
91,119868.06644598441,150480.41873327328,2062190879.0886378
92,119860.36802184119,150493.24311407912,2062164095.892748
93,119852.69311063986,150506.02788886023,2062137477.2874405
94,119845.04164358553,150518.77318325397,2062111022.261234
95,119837.41355199985,150531.4791224107,2062084729.808868
96,119829.8087673232,150544.1458309981,2062058598.9312592
97,119822.22722111674,150556.7734332052,2062032628.6354659
98,119814.66884506455,150569.36205274635,2062006817.9346485
99,119807.13357097546,150581.9118128652,2061981165.8480322
100,119799.62133078511,150594.4228363386,2061955671.400872
101,119792.13205655763,150606.89524548026,2061930333.6244116
102,119784.6656804875,150619.32916214454,2061905151.5558517
103,119777.22213490118,150631.72470773006,2061880124.2383075
104,119769.80135225884,150644.08200318323,2061855250.7207775
105,119762.40326515588,150656.40116900177,2061830530.0581038
106,119755.02780632445,150668.68232523816,2061805961.3109365
107,119747.67490863494,150680.92559150292,2061781543.545701
108,119740.3445050974,150693.13108696797,2061757275.8345606
109,119733.03652886285,150705.29893036987,2061733157.2553782
110,119725.75091322465,150717.42924001292,2061709186.891686
111,119718.48759161969,150729.52213377235,2061685363.8326488
112,119711.24649762968,150741.57772909736,2061661687.1730275
113,119704.0275649822,150753.59614301412,2061638156.013148
114,119696.83072755193,150765.57749212868,2061614769.458866
115,119689.65591936163,150777.52189262988,2061591526.6215308
116,119682.50307458318,150789.42946029227,2061568426.6179533
117,119675.37212753859,150801.3003104788,2061545468.5703728
118,119668.26301270093,150813.13455814362,2061522651.606422
119,119661.17566469521,150824.9323178347,2061499974.8590963
120,119654.11001829927,150836.6937036966,2061477437.4667182
121,119647.06600844456,150848.41882947297,2061455038.5729072
122,119640.04357021696,150860.10780850917,2061432777.3265443
123,119633.04263885753,150871.7607537548,2061410652.8817415
124,119626.06314976318,150883.377777766,2061388664.3978093
125,119619.10503848743,150894.95899270818,2061366811.039225
126,119612.16824074094,150906.50451035815,2061345091.9756005
127,119605.25269239224,150918.01444210662,2061323506.3816504
128,119598.35832946826,150929.4888989604,2061302053.4371629
129,119591.48508815488,150940.92799154486,2061280732.326964
130,119584.63290479746,150952.33183010592,2061259542.2408907
131,119577.80171590134,150963.70052451247,2061238482.3737612
132,119570.9914581323,150975.0341842585,2061217551.9253364
133,119564.202068317,150986.33291846508,2061196750.1003017
134,119557.43348344341,150997.5968358827,2061176076.1082246
135,119550.68564066118,151008.82604489315,2061155529.163533
136,119543.958477282,151020.0206535117,2061135108.4854817
137,119537.25193077994,151031.18076938897,2061114813.2981234
138,119530.5659387918,151042.30649981307,2061094642.830281
139,119523.90043911735,151053.39795171143,2061074596.3155122
140,119517.25536971964,151064.4552316528,2061054672.9920914
141,119510.63066872522,151075.47844584906,2061034872.102967
142,119504.02627442441,151086.4677001572,2061015192.895746
143,119497.44212527147,151097.42310008104,2060995634.6226547
144,119490.87815988479,151108.34475077316,2060976196.5405185
145,119484.33431704708,151119.23275703663,2060956877.9107256
146,119477.8105357055,151130.0872233268,2060937677.9992075
147,119471.30675497184,151140.908253753,2060918596.0764039
148,119464.82291412257,151151.69595208034,2060899631.41724
149,119458.35895259898,151162.4504217313,2060880783.3010938
150,119451.91481000723,151173.17176578756,2060862051.0117745
151,119445.49042611847,151183.86008699145,2060843433.8374941
152,119439.08574086883,151194.5154877478,2060824931.070833
153,119432.7006943595,151205.13807012534,2060806542.0087256
154,119426.33522685674,151215.72793585845,2060788265.9524217
155,119419.98927879185,151226.2851863487,2060770102.2074678
156,119413.66279076121,151236.8099226663,2060752050.0836785
157,119407.35570352626,151247.30224555175,2060734108.895107
158,119401.06795801342,151257.76225541736,2060716277.9600246
159,119394.79949531409,151268.19005234865,2060698556.6008923
160,119388.55025668457,151278.58573610592,2060680944.1443322
161,119382.320183546,151288.9494061256,2060663439.921106
162,119376.10921748428,151299.28116152185,2060646043.2660892
163,119369.91730024994,151309.58110108785,2060628753.518242
164,119363.74437375812,151319.84932329733,2060611570.0205898
165,119357.59038008835,151330.08592630582,2060594492.1201944
166,119351.45526148453,151340.2910079522,2060577519.1681285
167,119345.3389603547,151350.46466575997,2060560650.5194557
168,119339.24141927097,151360.60699693853,2060543885.5331979
169,119333.16258096934,151370.7180983847,2060527223.5723226
170,119327.10238834952,151380.79806668396,2060510664.0037072
171,119321.0607844748,151390.84699811167,2060494206.198122
172,119315.03771257185,151400.86498863448,2060477849.5302036
173,119309.03311603052,151410.85213391157,2060461593.37843
174,119303.04693840366,151420.80852929593,2060445437.1251018
175,119297.07912340692,151430.73426983564,2060429380.156314
176,119291.12961491855,151440.62945027504,2060413421.8619332
177,119285.19835697916,151450.49416505606,2060397561.6355772
178,119279.2852937915,151460.3285083194,2060381798.87459
179,119273.39036972025,151470.13257390566,2060366132.9800181
180,119267.51352929175,151479.90645535672,2060350563.356588
181,119261.65471719381,151489.6502459167,2060335089.4126878
182,119255.81387827541,151499.36403853341,2060319710.5603368
183,119249.99095754646,151509.04792585925,2060304426.2151706
184,119244.18590017753,151518.7020002525,2060289235.7964168
185,119238.39865149964,151528.32635377848,2060274138.726868
186,119232.6291570039,151537.92107821064,2060259134.4328685
